"Table 5.3: Key activities proposed for soil and water conservation in MWS-003","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Unit Cost  LKR","Total Cost  LKR","Contribution  Local Community  LA  and the project","Time frame for the implementation","NA"
,,,,,"N or X","E or Y",,,,,,
,,,"3. Renovation of Leader Drain 1","3","7.25021","80.67399","2 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of Leader Drain 2","4","7.24982","80.67545","1.2 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"120,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Renovation of Leader Drain 3","3","7.24980","80.67564","2 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","81,793,500",,,,,,,,,,,
"13","964","Puliyadda","1. Renovation of three (03) Leader Drains","2","7.24347222","80.6560278","5 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"500,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,,"1","7.24147000","80.6546900",,,,,,
,,,,"4","7.23766000","80.6579500",,,,,,
,,,"2. Establishment of a Drain/ Uranhervuma Ela","1","7.24069000","80.6528611","300 m","Concrete Drain",,"18,051,000","By the project","0.25 Years"
"Sub Total","18,551,000",,,,,,,,,,,
"14","966","Ethulgama West","1. Renovation of five (05) Leader Drains","1","7.2387224617.2392297.239899","80.66027026 80.659820 80.659493","9 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"900,000","Labour and other basic services by the Local community/ Shramadana","1.5 Years"
,,,,"5","7.2377562467.2377567.237949","80.66005467 80.660054 80.659791",,,,,,
,,,,"2","7.2364873367.2364877.237893","80.65947878 80.659478 80.658191",,,,,,
,,,,"3","7.2351923177.2351927.235978141","80.65914159 80.659141 80.65868",,,,,,
,,,,"4","7.2324859957.2281657.2311797.2324857.234135","80.65835181 80.660743 80.659363 80.658351 80.657748",,,,,,
,,,"2. Establishing a Retaining Wall 1 (Ingurugolla New)","1","7.238146617.238146","80.6598819280.659881","100 m x 3 m","Retaining Wall (Concrete)",,"11,616,000","By the project","0.5 Years"
,,,"3. Establishing a Retaining Wall 2 (Wehigaldeniya Ela and Kumbura)","1","7.229443367.244112","80.6602843980.658154","200 m x 3 m","Retaining Wall (Concrete)",,"23,226,500","By the project","0.5 Years"
"Sub Total","35,742,500",,,,,,,,,,,
"15","967","Ethulgama North","1. Renovation of eight (08) Leader Drains","4","7.244023","80.670536","29 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"2,900,000","Labour and other basic services by the Local community/ Shramadana","1.5 Years"
,,,,"4","7.247456","80.670445",,,,,,
,,,,"2","7.248298","80.666257",,,,,,
,,,,"2","7.248465","80.664799",,,,,,
,,,,"2","7.248705","80.662584",,,,,,
,,,,"2","7.247658","80.662437",,,,,,
,,,,"1","7.247309","80.659664",,,,,,
,,,,"1","7.246986","80.658498",,,,,,
,,,"2. Establishment of a Retaining Wall (Nikalanda Well)","2","7.240000","80.660000","25 m x 2 m","Retaining Wall (Concrete)",,"1,100,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","4,000,000",,,,,,,,,,,
,,,,,,,,"Grand Total",,"400,555,500",,
