No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (LKR),Sum of Costs (LKR),"Contribution (Local Community, LA, and the project)",Time frame for the implementation
71,512 A,Metibembiya,3. Soil conservation practices - Kekunawatta (60°),1,On,7.069226,80.782734,2 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"500,000",,Labor and other basic services by the Local community,0.25 Years
72,512 A,Metibembiya,4. Soil conservation practices - near the Metibembiya temple (70°),4,On,7.068403,80.782817,2 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"500,000",,Labor and other basic services by the Local community,0.25 Years
73,512 A,Metibembiya,5. Soil conservation practices - Galpottawala (65°),1,On,7.067384,80.783221,8 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"2,000,000",,Labor and other basic services by the Local community,0.5 Years
74,512 A,Metibembiya,6. Soil conservation practices - Galpottawala (70°),1,On,7.066505,80.784557,4 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"1,000,000",,Labor and other basic services by the Local community,0.25 Years
75,512 A,Metibembiya,7. Soil conservation practices - Udakanda Galpottawa (80°),5,On,7.06641,80.783146,2 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"500,000","4,700,000",Labor and other basic services by the Local community,0.25 Years
76,508 C,Ketayapathana Udagama,1. Renovation of natural drains - Torrent near Upali Stores (Uda Aswedduma),5,Off,7.070337,80.805148,3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"300,000",,Labor and other basic services by the Local community/ Shramadana,0.5 Years
77,508 C,Ketayapathana Udagama,2. Renovation of natural drains - Torrent at Aswedduma road,4,Off,7.068268,80.806029,2.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"250,000",,Labor and other basic services by the Local community/ Shramadana,0.5 Years
78,508 C,Ketayapathana Udagama,3. Renovation of natural drains - Torrent of Amunupura canal,3,Off,7.066842,80.804683,2.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"250,000",,Labor and other basic services by the Local community/ Shramadana,0.5 Years
79,508 C,Ketayapathana Udagama,4. Renovation of natural drains - Hindel torrent,3,Off,7.066204,80.804431,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000",,Labor and other basic services by the Local community/ Shramadana,0.5 Years
80,508 C,Ketayapathana Udagama,5. Renovation of natural drains - Amunupura Oya,4,Off,7.065382,80.803317,3 km,Planting some trees along the banks and other conservation practices,,"300,000",,Labor and other basic services by the Local community/ Shramadana,0.5 Years
81,508 C,Ketayapathana Udagama,6. Soil conservation practices - Ketayapathana Udagama (60°),3,On,7.069504,80.805431,8 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"2,000,000",,Labor and other basic services by the Local community,0.5 Years
82,508 C,Ketayapathana Udagama,7. Soil conservation practices - Ketayapathana Udagama (70°),5,On,7.068243,80.806226,16 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"4,000,000",,Labor and other basic services by the Local community,0.5 Years
83,508 C,Ketayapathana Udagama,8. Soil conservation practices - Ketayapathana Udagama (60°),1,On,7.067124,80.804883,0.5 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"125,000",,Labor and other basic services by the Local community,0.25 Years
84,508 C,Ketayapathana Udagama,9. Soil conservation practices - Ketayapathana Udagama (60°),1,On,7.065315,80.803403,0.5 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"125,000",,Labor and other basic services by the Local community,0.25 Years
85,508 C,Ketayapathana Udagama,10. Soil conservation practices - Ketayapathana Udagama (80°),5,On,7.063257,80.803261,1.25 ha,"Live fencing/ SALT or Stone terracing/lock and spills, as applied",250 m-1,"312,500","7,762,500",Labor and other basic services by the Local community,0.25 Years
86,512,Wellagiriya,1. Renovation of natural drains - Belihul Oya,5,Off,7.08509,80.78712,1 km,Planting some trees along the banks and other conservation practices,,"100,000",,Labor and other basic services by the Local community/ Shramadana,0.5 Years
