"Table 5.2: Key ON-FARM proposed for soil and water conservation in MWS-011 belongs to Hanguranketha DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Unit Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,"4. Soil conservation practices - Rotupihilla (70°)","4","7.142101","80.767223","3.2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","800,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","3,300,000",,,,,,,,,,,
"14","498E","Puranagama","1. Soil conservation practices - Pallahena Ella (80°)","5","7.136853","80.755251","1.6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","400,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Puranagama (85°)","1","7.144828","80.750616","18.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,700,000","Labour and other basic services by the Local community","1.5 Years"
,,,"3. Soil conservation practices - Puranagama (80°)","4","7.143339","80.753449","14 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,500,000","Labour and other basic services by the Local community","1 Year"
"Sub Total","8,600,000",,,,,,,,,,,
"15","497","Unanthenna","1. Renovation of natural drains - Koskadura","No special issues are reported",,,,,,,,
"16","498","Wegama","1. Soil conservation practices - Poodagoda (70°)","5","7.129526","80.761325","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Gallegoda (75°)","5","7.133212","80.764698","16 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,000,000","Labour and other basic services by the Local community","1 Year"
,,,"3. Soil conservation practices - Gallegoda (75°)","4","7.131249","80.765813","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","9,000,000",,,,,,,,,,,
,,,,,,,,"Grand Total",,"96,595,000",,
